0.0%,0.0%
0.1%,0.2%
0.2%,0.1%
0.0%,0.2%
0.0%,0.2%
215.9%,0.0%
561.5%,17.5%
0.2%,0.4%
0.0%,0.0%
0.4%,0.5%
79.4%,260.1%
0.1%,0.4%
0.0%,0.2%
0.0%,0.5%
0.1%,0.1%
0.1%,0.2%
0.0%,0.0%
0.2%,0.1%
0.6%,0.2%
0.0%,0.6%
3.4%,0.3%
0.0%,0.3%
92.1%,17.2%
0.1%,0.3%
0.0%,0.2%
0.1%,0.1%
110.4%,36.5%
1578.4%,0.2%
0.0%,0.1%
0.2%,0.2%
0.2%,0.2%
0.1%,0.0%
0.0%,0.0%
0.1%,0.0%
0.2%,0.2%
0.2%,0.2%
0.0%,0.1%
1578.4%,0.2%
110.4%,36.5%
0.1%,0.1%
0.0%,0.2%
0.1%,0.3%
92.1%,17.2%
0.0%,0.3%
3.4%,0.3%
0.0%,0.6%
0.6%,0.2%
0.2%,0.1%
0.0%,0.0%
0.1%,0.2%
0.1%,0.1%
0.0%,0.5%
0.0%,0.2%
0.1%,0.4%
79.4%,260.1%
0.4%,0.5%
0.0%,0.0%
0.2%,0.4%
561.5%,17.5%
215.9%,0.0%
0.0%,0.2%
0.0%,0.2%
0.2%,0.1%
0.1%,0.2%
